a	ə
accepten	ə k . s ˈe p . t ə n
accepto	ə k . s ˈe p . t u
accessibilitat	ə k . s ə . s i . β i . l i . t ˈa t
accessible	ə k . s ə . s ˈi . β l ə
accessoris	ə k . s ə . s ˈɔ . ɾ i s
acció	ə k . s i . ˈo
accident	ə k . s i . d ˈe n 
accidents	ə k . s i . d ˈe n s
accions	ə k . s i . ˈo n s
acer	ə . s ˈe ɾ
acidesa	ə . s i . d ˈɛ . z ə
aclarís	ə . k l ə . ɾ ˈi s
aclariment	ə . k l ə . ɾ i . m ˈe n
acluca	ə . k l ˈu . k ə
acollidor	ə . k u . ʎ i . d ˈo
acollidora	ə . k u . ʎ i . d ˈo . ɾ ə
acolliment	ə . k u . ʎ i . m ˈe n
acollir	ə . k u . ʎ ˈi
acolliran	ə . k u . ʎ i . ɾ ˈa n
acollirà	ə . k u . ʎ i . ɾ ˈa
acolorit	ə . k u . l u . ɾ ˈi t
acomiadament	ə . k u . m i . ə . d ə . m ˈe n
acomiadaríem	ə . k u . m i . ə . ð ə . ɾ ˈi . ə m
acomiadar-me	ə . k u . m i . ə . ð ˈa ɾ m ə
acomiadar-nos	ə . k u . m i . ə . ð ˈa ɾ n u s
acomiadar-se	ə . k u . m i . ə . ð ˈa ɾ s ə
acomiadat	ə . k u . m i . ə . ð ˈa t
acomiadem	ə . k u . m i . ə . d ˈɛ m
acomodador	ə . k u . m u . ð ə . d ˈo
acomodament	ə . k u . m u . d ə . m ˈe n
acompanya	ə . k u m . p ˈa . ɲ ə
acompanyada	ə . k u m . p ə . ɲ ˈa . ð ə
acompanyar	ə . k u m . p ə . ɲ ˈa
acompanyarà	ə . k u m . p ə . ɲ ə . ɾ ˈa
acompanyarem	ə . k u m . p ə . ɲ ə . ɾ ˈɛ m
acompanyaria	ə . k u m . p ə . ɲ ə . ɾ ˈi . ə
acompanyar-me	ə . k u m . p ə . ɲ ˈa ɾ m ə
acompanyat	ə . k u m . p ə . ɲ ˈa t
acompanyava	ə . k u m . p ə . ɲ ˈa . b ə
acompanyi	ə . k u m . p ˈa . ɲ i
acompanyo	ə . k u m . p ˈa . ɲ u
acompleix	ə . k u m . p l ˈɛ ʃ
aconseguí	ə . k u n . s ə . g ˈi
aconsegueix	ə . k u n . s ə . g ˈɛ ʃ
aconsegueixen	ə . k u n . s ə . g ˈɛ ʃ ə n
aconsegueixo	ə . k u n . s ə . g ˈɛ ʃ u
aconseguia	ə . k u n . s ə . g ˈi . ə
aconseguint	ə . k u n . s ə . g ˈi n 
aconseguir	ə . k u n . s ə . g ˈi
aconseguiran	ə . k u n . s ə . g i . ɾ ˈa n
aconseguir-ho	ə . k u n . s ə . g ˈi ɾ u
aconseguirien	ə . k u n . s ə . g i . ɾ ˈi . ə n
aconseguir-la	ə . k u n . s ə . g ˈi ɾ l ə
aconseguit	ə . k u n . s ə . g ˈi t
aconseguiu	ə . k u n . s ə . g ˈi w
aconsellar-los	ə . k u n . s ə . ʎ ˈa ɾ l u s
aconsellem	ə . k u n . s ə . ʎ ˈɛ m
aconsellen	ə . k u n . s ˈe . ʎ ə n
acord	ə . k ˈɔ ɾ t
acordar	ə . k u ɾ . d ˈa
acords	ə . k ˈɔ ɾ s
acosta	ə . k ˈɔ s . t ə
acostant-se	ə . k u s . t ˈa n s ə
acostar	ə . k u s . t ˈa
acostar-se	ə . k u s . t ˈa ɾ s ə
acostés	ə . k u s . t ˈe s
acostat	ə . k u s . t ˈa t
acosta't	ə . k ˈɔ s . t ə t
acosta-t'hi	ə . k ˈɔ s . t ə t i
acostem	ə . k u s . t ˈɛ m
acosti	ə . k ˈɔ s . t i
acosto	ə . k ˈɔ s . t u
acostuma	ə . k u s . t ˈu . m ə
acostumada	ə . k u s . t u . m ˈa . ð ə
acostumar	ə . k u s . t u . m ˈa
acostumat	ə . k u s . t u . m ˈa t
acostumats	ə . k u s . t u . m ˈa t s
acostumava	ə . k u s . t u . m ˈa . b ə
acostumaven	ə . k u s . t u . m ˈa . b ə n
acostumaves	ə . k u s . t u . m ˈa . b ə s
acostumem	ə . k u s . t u . m ˈɛ m
acostumen	ə . k u s . t ˈu . m ə n
acostumes	ə . k u s . t ˈu . m ə s
acostumin	ə . k u s . t ˈu . m i n
acostumo	ə . k u s . t ˈu . m u
acreditatius	ə . k ɾ ə . ð i . t ə . t ˈi w s
acta	ˈa k . t ə
acte	ˈa k . t ə
actes	ˈa k . t ə s
actitud	ə k . t i . t ˈu t
actitudinals	ə k . t i . t u . ð i . n ˈa l s
actituds	ə k . t i . t ˈu t s
actiu	ə k . t ˈi w
activa	ə k . t ˈi . β ə
activació	ə k . t i . β ə . s i . ˈo
activar	ə k . t i . b ˈa
activat	ə k . t i . b ˈa t
activistes	ə k . t i . β ˈi s . t ə s
activitat	ə k . t i . β i . t ˈa t
activitats	ə k . t i . β i . t ˈa t s
actor	ə k . t ˈo
actriu	ə k . t ɾ ˈi w
actua	ə k . t ˈu . ə
actuació	ə k . t u . ə . s i . ˈo
actuacions	ə k . t u . ə . s i . ˈo n s
actual	ə k . t u . ˈa l
actualitat	ə k . t u . ə . l i . t ˈa t
actualitza	ə k . t u . ə . l ˈi d . z ə
actualitzacions	ə k . t u . ə . l i d . z ə . s i . ˈo n s
actualitzador	ə k . t u . ə . l i d . z ə . d ˈo
actualitzar	ə k . t u . ə . l i d . z ˈa
actualitzem	ə k . t u . ə . l i d . z ˈɛ m
actualment	ə k . t u . ˈa l . m ˈe n 
actuals	ə k . t u . ˈa l s
actuar	ə k . t u . ˈa
actuen	ə k . t ˈu . ə n
actueu	ə k . t u . ˈɛ w
actuo	ə k . t ˈu . u
acudir	ə . k u . ð ˈi
acudit	ə . k u . ð ˈi t
acudits	ə . k u . ð ˈi t s
acull	ə . k ˈu ʎ
acullen	ə . k ˈu . ʎ ə n
acumula	ə . k u . m ˈu . l ə
acumulada	ə . k u . m u . l ˈa . ð ə
acumulant	ə . k u . m u . l ˈa n 
acumular	ə . k u . m u . l ˈa
acumulat	ə . k u . m u . l ˈa t
acuradament	ə . k u . ɾ ˈa . ð ə . m ˈe n 
acurades	ə . k u . ɾ ˈa . ð ə s
acusen	ə . k ˈu . z ə n
acusis	ə . k ˈu . z i s
acut	ə . k ˈu t
acutangles	ə . k u . t ˈa n . g l ə s
adam	ə . ð ˈa m
adaptació	ə . ð ə p . t ə . s i . ˈo
adaptades	ə . ð ə p . t ˈa . ð ə s
adaptador	ə . ð ə p . t ə . d ˈo
adaptat	ə . ð ə p . t ˈa t
adéu	ə . ð ˈe w
adéu-siau	ə . ð ˈe w_siau
adéu-siau	ə . ð ˈe w_s i . ˈa w
adàgio	ə . ð ˈa . ʒ i . u
addiccions	ə . d i k . s i . ˈo n s
addicional	ə . d i . s i . u . n ˈa l
adduí	ə . d u . ˈi
adell	ə . d ˈe ʎ
adena	ə . d ˈɛ . n ə
adequa	ə . d ˈɛ . k w ə
adequada	ə . ð ə . k w ˈa . ð ə
adequades	ə . ð ə . k w ˈa . ð ə s
adequar	ə . ð ə . k w ˈa
adequat	ə . ð ə . k w ˈa t
adherits	ə d ə . ɾ ˈi t s
adient	ə . ð i . ˈe n 
adinerats	ə . ð i . n ə . ɾ ˈa t s
adjacent	ə d . ʒ ə . s ˈe n 
adjudica	ə d . ʒ u . ð ˈi . k ə
adjunt	ə d . ʒ ˈu n 
adjuntar	ə d . ʒ u n . t ˈa
adjunteu	ə d . ʒ u n . t ˈɛ w
adjunteu-lo	ə d . ʒ u n . t ˈe w l u
admet	ə d . m ˈɛ t
admetre	ə d . m ˈɛ . t ɾ ə
administració	ə d . m i . n i s . t ɾ ə . s i . ˈo
administracions	ə d . m i . n i s . t ɾ ə . s i . ˈo n s
administrador	ə d . m i . n i s . t ɾ ə . d ˈo
administrar	ə d . m i . n i s . t ɾ ˈa
administratiu	ə d . m i . n i s . t ɾ ə . t ˈi w
administrativa	ə d . m i . n i s . t ɾ ə . t ˈi . β ə
admirable	ə d . m i . ɾ ˈa . β l ə
admiració	ə d . m i . ɾ ə . s i . ˈo
admiradors	ə d . m i . ɾ ə . d ˈo s
admirar	ə d . m i . ɾ ˈa
admirava	ə d . m i . ɾ ˈa . b ə
adobar	ə . ð u . β ˈa
adolescència	ə . ð u . l ə s . s ˈɛ n . s i . ə
adolescent	ə . ð u . l ə s . s ˈe n 
adolescents	ə . ð u . l ə s . s ˈe n s
adonant-se	ə . ð u . n ˈa n s ə
adonar	ə . ð u . n ˈa
adonar-me	ə . ð u . n ˈa ɾ m ə
adonar-me'n	ə . ð u . n ˈa_me¬n
adonar-me'n	ə . ð u . n ˈa_m ˈe n
adonar-se	ə . ð u . n ˈa ɾ s ə
adonar-se'n	ə . ð u . n ˈa ɾ s ə n
adonat	ə . ð u . n ˈa t
adonava	ə . ð u . n ˈa . b ə
adono	ə . d ˈo . n u
adoptar	ə . ð u p . t ˈa
adoptats	ə . ð u p . t ˈa t s
adoració	ə . ð u . ɾ ə . s i . ˈo
adormida	ə . ð u ɾ . m ˈi . ð ə
adormir	ə . ð u ɾ . m ˈi
adormir-nos	ə . ð u ɾ . m ˈi ɾ n u s
adormir-se	ə . ð u ɾ . m ˈi ɾ s ə
adormit	ə . ð u ɾ . m ˈi t
adormits	ə . ð u ɾ . m ˈi t s
adormo	ə . d ˈo ɾ . m u
adornats	ə . ð u ɾ . n ˈa t s
adornen	ə . d ˈo ɾ . n ə n
adorns	ə . d ˈo ɾ n s
adquireixin	ə d . k i . ɾ ˈɛ ʃ i n
adquiriran	ə d . k i . ɾ i . ɾ ˈa n
adquirit	ə d . k i . ɾ ˈi t
adquisició	ə d . k i . z i . s i . ˈo
adreça	ə . d ɾ ˈe . s ə
adreçades	ə . ð ɾ ə . s ˈa . ð ə s
adreçar	ə . ð ɾ ə . s ˈa
adreçar-se	ə . ð ɾ ə . s ˈa ɾ s ə
adreçat	ə . ð ɾ ə . s ˈa t
adreçats	ə . ð ɾ ə . s ˈa t s
adreces	ə . d ɾ ˈe . s ə s
adrenalina	ə . ð ɾ ə . n ə . l ˈi . n ə
adrianenc	ə . ð ɾ i . ə . n ˈɛ n k
adrianenques	ə . ð ɾ i . ə . n ˈɛ n . k ə s
adrià	ə . ð ɾ i . ˈa
adscrit	ə t s s . k ɾ ˈi t
adulta	ə . ð ˈu l . t ə
adults	ə . ð ˈu l s
advertències	ə d . b ə ɾ . t ˈɛ n . s i . ə s
adverteix	ə d . b ə ɾ . t ˈɛ ʃ
advertir-li	ə d . b ə ɾ . t ˈi ɾ l i
advocat	ə d . b u . k ˈa t
advocats	ə d . b u . k ˈa t s
advoquem	ə d . b u k ˈɛ m
aeròdroms	ə . e . ɾ ˈɔ . ð ɾ u m s
aeri	ə . ˈɛ . ɾ i
aeroespacial	ə . e . ɾ u . ə s . p ə . s i . ˈa l
aeronàutics	ə . e . ɾ u . n ˈa w . t i k s
aeroport	ə . e . ɾ u . p ˈɔ ɾ t
aeroports	ə . e . ɾ u . p ˈɔ ɾ s
aeroportuari	ə . e . ɾ u . p u ɾ . t u . ˈa . ɾ i
afany	ə . f ˈa ɲ
afartar-se	ə . f ə ɾ . t ˈa ɾ s ə
afavoreix	ə . f ə . β u . ɾ ˈɛ ʃ
afeblit	ə . f ə . β l ˈi t
afecció	ə . f ə k . s i . ˈo
afectacions	ə . f ə k . t ə . s i . ˈo n s
afectada	ə . f ə k . t ˈa . ð ə
afectades	ə . f ə k . t ˈa . ð ə s
afectar	ə . f ə k . t ˈa
afectarà	ə . f ə k . t ə . ɾ ˈa
afectés	ə . f ə k . t ˈe s
afectats	ə . f ə k . t ˈa t s
afecte	ə . f ˈe k . t ə
afecten	ə . f ˈe k . t ə n
afectuós	ə . f ə k . t u . ˈo s
afegí	ə . f ə . ʒ ˈi
afegeix	ə . f ə . ʒ ˈɛ ʃ
afegeixen	ə . f ə . ʒ ˈɛ ʃ ə n
afegeixes	ə . f ə . ʒ ˈɛ ʃ ə s
afegeixi	ə . f ə . ʒ ˈɛ ʃ i
afegies	ə . f ə . ʒ ˈi . ə s
afegim	ə . f ə . ʒ ˈi m
afegir	ə . f ə . ʒ ˈi
afegir-hi	ə . f ə . ʒ ˈi ɾ i
afegiu	ə . f ə . ʒ ˈi w
afeitar	ə . f ə j . t ˈa
aferrada	ə . f ə . r ˈa . ð ə
aferrat	ə . f ə . r ˈa t
afers	ə . f ˈe ɾ s
afganistan	ə f . g ə . n i s . t ˈa n
afgà	ə f . g ˈa
afició	ə . f i . s i . ˈo
aficionat	ə . f i . s i . u . n ˈa t
aficionats	ə . f i . s i . u . n ˈa t s
afilats	ə . f i . l ˈa t s
afiliat	ə . f i . l i . ˈa t
afinar	ə . f i . n ˈa
afirmacions	ə . f i ɾ . m ə . s i . ˈo n s
afirmar	ə . f i ɾ . m ˈa
afloraments	ə . f l u . ɾ ə . m ˈe n s
afloren	ə . f l ˈo . ɾ ə n
afores	ə . f ˈɔ . ɾ ə s
afortunada	ə . f u ɾ . t u . n ˈa . ð ə
afortunats	ə . f u ɾ . t u . n ˈa t s
Àfrica	ˈa . f ɾ i . k ə
africana	ə . f ɾ i . k ˈa . n ə
africans	ə . f ɾ i . k ˈa n s
africà	ə . f ɾ i . k ˈa
afronta	ə . f ɾ ˈo n . t ə
afrontarà	ə . f ɾ u n . t ə . ɾ ˈa
afrontà	ə . f ɾ u n . t ˈa
afronten	ə . f ɾ ˈo n . t ə n
afruitat	ə . f ɾ u j . t ˈa t
afuselladament	ə . f u . z ə . ʎ ˈa . ð ə . m ˈe n 
agafa	ə . ɣ ˈa . f ə
agafada	ə . ɣ ə . f ˈa . ð ə
agafant	ə . ɣ ə . f ˈa n 
agafant-me	ə . ɣ ə . f ˈa n m ə
agafar	ə . ɣ ə . f ˈa
agafaré	ə . ɣ ə . f ə . ɾ ˈe
agafaran	ə . ɣ ə . f ə . ɾ ˈa n
agafarà	ə . ɣ ə . f ə . ɾ ˈa
agafarem	ə . ɣ ə . f ə . ɾ ˈɛ m
agafar-la	ə . ɣ ə . f ˈa ɾ l ə
agafar-lo	ə . ɣ ə . f ˈa ɾ l u
agafar-ne	ə . ɣ ə . f ˈa ɾ n ə
agafar-nos	ə . ɣ ə . f ˈa ɾ n u s
agafar-se	ə . ɣ ə . f ˈa ɾ s ə
agafar-se-la	ə . ɣ ə . f ˈa ɾ s ə l ə
agafat	ə . ɣ ə . f ˈa t
agafava	ə . ɣ ə . f ˈa . b ə
agafaven	ə . ɣ ə . f ˈa . b ə n
agafà	ə . ɣ ə . f ˈa
agafen	ə . ɣ ˈa . f ə n
agafessin	ə . ɣ ə . f ˈe . s i n
agafin	ə . ɣ ˈa . f i n
agafo	ə . ɣ ˈa . f u
agència	ə . ʒ ˈɛ n . s i . ə
age	ˈa . ʒ ə
agenda	ə . ʒ ˈe n . d ə
agenollar-se	ə . ʒ ə . n u . ʎ ˈa ɾ s ə
agents	ə . ʒ ˈe n s
agilitar	ə . ʒ i . l i . t ˈa
agilitzar	ə . ʒ i . l i d . z ˈa
aglutini	ə . ɣ l u . t ˈi . n i
agnelli	ə g . n ˈe . ʎ i
agnes	ˈa g . n ə s
ígnia	ˈi g . n i . ə
agonia	ə . ɣ u . n ˈi . ə
agost	ə . g ˈo s t
agraïda	ə . ɣ ɾ ə . ˈi . ð ə
agraïts	ə . ɣ ɾ ə . ˈi t s
agrícoles	ə . ɣ ɾ ˈi . k u . l ə s
agrada	ə . ɣ ɾ ˈa . ð ə
agradable	ə . ɣ ɾ ə . ð ˈa . β l ə
agradables	ə . ɣ ɾ ə . ð ˈa . β l ə s
agradant	ə . ɣ ɾ ə . ð ˈa n 
agradar	ə . ɣ ɾ ə . ð ˈa
agradaria	ə . ɣ ɾ ə . ð ə . ɾ ˈi . ə
agradés	ə . ɣ ɾ ə . ð ˈe s
agradat	ə . ɣ ɾ ə . ð ˈa t
agradava	ə . ɣ ɾ ə . ð ˈa . b ə
agradaven	ə . ɣ ɾ ə . ð ˈa . b ə n
agraden	ə . ɣ ɾ ˈa . ð ə n
agradessin	ə . ɣ ɾ ə . d ˈe . s i n
agradi	ə . ɣ ɾ ˈa . ð i
agraeix	ə . ɣ ɾ ə . ˈɛ ʃ
agraeixo	ə . ɣ ɾ ə . ˈɛ ʃ u
agrair	ə . ɣ ɾ ə . ˈi
agrair-li	ə . ɣ ɾ ə . ˈi ɾ l i
agrari	ə . ɣ ɾ ˈa . ɾ i
agre	ˈa . ɣ ɾ ə
agregar-lo	ə . ɣ ɾ ə . ɣ ˈa ɾ l u
agressions	ə . ɣ ɾ ə . s i . ˈo n s
agressivitat	ə . ɣ ɾ ə . s i . β i . t ˈa t
agressors	ə . ɣ ɾ ə . s ˈo s
agreujar	ə . ɣ ɾ ə w . ʒ ˈa
agricultor	ə . ɣ ɾ i . k u l . t ˈo
agricultors	ə . ɣ ɾ i . k u l . t ˈo s
agricultura	ə . ɣ ɾ i . k u l . t ˈu . ɾ ə
agrupa	ə . ɣ ɾ ˈu . p ə
agrupa'ls	ə . ɣ ɾ ˈu . p ə l s
agrupant	ə . ɣ ɾ u . p ˈa n 
aguait	ə . ɣ w ˈa j t
aguaitar	ə . ɣ w ə j . t ˈa
aguanta	ə . ɣ w ˈa n . t ə
aguantant	ə . ɣ w ə n . t ˈa n 
aguantar	ə . ɣ w ə n . t ˈa
aguantar-la	ə . ɣ w ə n . t ˈa ɾ l ə
aguantar-me	ə . ɣ w ə n . t ˈa ɾ m ə
aguantar-te	ə . ɣ w ə n . t ˈa ɾ t ə
aguantés	ə . ɣ w ə n . t ˈe s
aguantava	ə . ɣ w ə n . t ˈa . b ə
aguditzats	ə . ɣ u . ð i d . z ˈa t s
agulla	ə . ɣ ˈu . ʎ ə
agulles	ə . ɣ ˈu . ʎ ə s
agustí	ə . ɣ u s . t ˈi
agut	ə . ɣ ˈu t
ah	ˈa
ahir	ə ˈi
ai	ˈa j
aida	ˈa j . ð ə
aigües	ˈa j . g w ə s
aigua	ˈa j . ɣ w ə
aiguaforts	ə j . ɣ w ə . f ˈɔ ɾ s
aigualís	ə j . ɣ w ə . l ˈi s
aigualida	ə j . ɣ w ə . l ˈi . ð ə
aiguamolls	ə j . ɣ w ə . m ˈɔ ʎ s
aiguaviva	ə j . ɣ w ə . β ˈi . β ə
aimara	ə j . m ˈa . ɾ ə
aire	ˈa j . ɾ ə
aires	ˈa j . ɾ ə s
airosament	ə j . ɾ ˈɔ . z ə . m ˈe n 
així	ə ʃ ˈi
això	ə ʃ ˈɔ
aixafant	ə ʃ ə . f ˈa n 
aixafar	ə ʃ ə . f ˈa
aixafar-me	ə ʃ ə . f ˈa ɾ m ə
aixafem	ə ʃ ə . f ˈɛ m
aixeca	ə ʃ ˈɛ . k ə
aixecada	ə ʃ ə . k ˈa . ð ə
aixecant	ə ʃ ə . k ˈa n 
aixecant-li	ə ʃ ə . k ˈa n l i
aixecar	ə ʃ ə . k ˈa
aixecar-me	ə ʃ ə . k ˈa ɾ m ə
aixecar-se	ə ʃ ə . k ˈa ɾ s ə
aixecat	ə ʃ ə . k ˈa t
aixecàrem	ə ʃ ə . k ˈa . ɾ ə m
aixeco	ə ʃ ˈe . k u
aixequem	ə ʃ ə k ˈɛ m
aixeta	ə ʃ ˈɛ . t ə
aixopluc	ə ʃ u . p l ˈu k
aixoplugat	ə ʃ u . p l u . ɣ ˈa t
ajagut	ə . ʒ ə . ɣ ˈu t
ajaguts	ə . ʒ ə . ɣ ˈu t s
ajuda	ə . ʒ ˈu . ð ə
ajudant	ə . ʒ u . ð ˈa n 
ajudant-la	ə . ʒ u . ð ˈa n l ə
ajudar	ə . ʒ u . ð ˈa
ajudarà	ə . ʒ u . ð ə . ɾ ˈa
ajudarem	ə . ʒ u . ð ə . ɾ ˈɛ m
ajudar-me	ə . ʒ u . ð ˈa ɾ m ə
ajudés	ə . ʒ u . ð ˈe s
ajudat	ə . ʒ u . ð ˈa t
ajudaven	ə . ʒ u . ð ˈa . b ə n
ajuden	ə . ʒ ˈu . ð ə n
ajudes	ə . ʒ ˈu . ð ə s
ajudeu-me	ə . ʒ u . d ˈe w m ə
ajudi	ə . ʒ ˈu . ð i
ajudo	ə . ʒ ˈu . ð u
ajuntament	ə . ʒ u n . t ə . m ˈe n
ajuntaments	ə . ʒ u n . t ə . m ˈe n s
ajuntar-me	ə . ʒ u n . t ˈa ɾ m ə
ajunti	ə . ʒ ˈu n . t i
ajupim	ə . ʒ u . p ˈi m
ajupit	ə . ʒ u . p ˈi t
ajusta	ə . ʒ ˈu s . t ə
ajustar	ə . ʒ u s . t ˈa
ajut	ə . ʒ ˈu t
ajuts	ə . ʒ ˈu t s
al	ə l
alè	ə . l ˈɛ
alça	ˈa l . s ə
alçada	ə l . s ˈa . ð ə
alçar	ə l . s ˈa
alçar-se	ə l . s ˈa ɾ s ə
alçat	ə l . s ˈa t
alacant	ə . l ə . k ˈa n 
al·lèrgia	ə . l ˈɛ ɾ . ʒ i . ə
al·lèrgies	ə . l ˈɛ ɾ . ʒ i . ə s
al·legació	ə . l ə . ɣ ə . s i . ˈo
al·legant	ə . l ə . ɣ ˈa n 
al·lucinògena	ə . l u . s i . n ˈɔ . ʒ ə . n ə
al·lucinants	ə . l u . s i . n ˈa n s
al·lucinat	ə . l u . s i . n ˈa t
alan	ə . l ˈa n
alapont	ə . l ə . p ˈo n 
alarma	ə . l ˈa ɾ . m ə
alauita	ə . l ˈa w j . t ə
alba	ˈa l . b ə
albacete	ə l . b ə . s ˈɛ . t ə
albacetenyes	ə l . b ə . s ə . t ˈɛ . ɲ ə s
albània	ə l . b ˈa . n i . ə
albera	ə l . b ˈe . ɾ ə
alberga	ə l . b ˈɛ ɾ . g ə
albergínia	ə l . b ə ɾ . ʒ ˈi . n i . ə
albergava	ə l . b ə ɾ . g ˈa . b ə
alberguen	ə l . b ˈe ɾ . g ə n
albirar	ə l . b i . ɾ ˈa
